A,B,C,D,E,F
12,132.08,39,743.01,-10.5954,-5.63365
34,352.23,22,420.35,15.0101,7.98101
6,72.14,31,591.24,-85.7168,-51.5038
37,382.29,11,211.4,0.309018,0.951056
5,62.08,2,40.27,-43.8783,-16.8433
39,402.43,0,2.07,82.8455,35.1658
4,52.41,6,116.15,-6.36833,-15.7621
23,242.38,0,2.23,65.3658,18.7433
32,332.03,25,477.12,-22.9236,-31.5516
32,332.23,30,572.31,-20.8364,-60.5132
23,242.52,22,420.2,29.5495,22.2671
23,242.38,37,705.06,-54.3072,-40.9234
24,252.52,33,629.01,-40.173,-66.859
17,182.03,0,2.52,-51.9322,-83.1087
34,352.23,39,743.13,-5.93634,-3.70943
12,132.05,14,268.31,57.4402,41.7327
7,82.23,13,249.53,-8.00361,-10.2441
20,212.48,12,230.02,-11.1432,-6.69549
39,402.54,33,629.08,-41.3136,-77.6994
4,52.23,5,97.52,35.2242,22.8748
22,232.12,6,116.33,-32.3325,-21.8085
28,291.97,27,515.3,-4.30043,-11.203
30,312.25,17,325.31,3.69397,4.72806
